id,program,name
1,현역가왕2,환희
2,현역가왕2,진해성
3,현역가왕2,에녹
4,현역가왕2,최수호
5,현역가왕2,김중연
6,현역가왕2,나태주
7,현역가왕2,송민준
8,현역가왕2,강문경
9,현역가왕2,신승태
10,현역가왕2,최우진
11,현역가왕2,양지원
12,미스터트롯3,최윤하
13,미스터트롯3,김용빈
14,미스터트롯3,신인선
15,미스터트롯3,추혁진
16,미스터트롯1,이찬원
17,미스터트롯1,임영웅
18,미스터트롯1,영탁
19,미스터트롯1,정동원
20,미스터트롯1,김수찬
21,미스터트롯1,김희재
22,미스터트롯1,류지광
23,미스터트롯1,장민호
24,미스터트롯1,홍잠언
25,미스터트롯2,노지훈
26,미스터트롯2,박서진
27,미스터트롯2,박지현
28,미스터트롯2,안성훈
29,미스터트롯2,이대원
30,미스터트롯2,재하
31,미스터트롯2,황민호
32,불타는트롯맨,손태진
33,불타는트롯맨,공훈
34,불타는트롯맨,남승민
35,불타는트롯맨,한강
36,불타는트롯맨,민수현
37,불타는트롯맨,정다한
38,불타는트롯맨,박민수
39,불타는트롯맨,신성
40,트롯신이떴다,박군
